,X-axis,Y-Axis,Z-Axis
493,25,-56,1062
494,57,-61,1079
495,67,-40,1084
496,73,-36,1079
497,70,-48,1065
498,72,-66,1082
499,48,-74,1043
500,-15,-92,1039
501,-62,-113,1052
502,-73,-117,1052
503,-83,-129,1076
504,-56,-113,1025
505,-3,-72,1044
506,56,-12,1006
507,59,-9,1021
508,117,12,970
509,59,-16,967
510,43,-34,957
511,-11,-92,924
512,-34,-143,839
513,24,-101,784
514,74,-50,790
515,143,4,761
516,183,35,792
517,142,51,811
518,81,25,859
519,20,-32,962
520,-19,-101,1092
521,-71,-150,1182
522,-103,-191,1263
523,-52,-185,1332
524,-26,-162,1359
525,-19,-117,1312
526,-47,-71,1261
527,-77,4,1179
528,-38,24,1157
529,22,42,1096
530,73,0,1041
531,121,0,1021
532,163,-39,995
533,217,-53,966
534,198,-60,893
535,81,-106,833
536,-15,-99,787
537,-129,-109,735
538,-145,-80,674
539,-134,-87,620
540,-40,-103,634
541,59,-119,660
542,122,-124,737
543,182,-88,809
544,146,-64,866
545,78,-54,1023
546,9,1,1102
547,-62,-43,1222
548,-92,-24,1278
549,-78,-32,1301
550,-63,-45,1331
551,14,-68,1339
552,37,-68,1324
553,84,-48,1299
554,69,-27,1309
555,107,2,1243
556,100,7,1179
557,94,-17,1101
558,75,-20,1050
559,99,-43,1017
560,93,-95,975
561,71,-134,909
562,2,-146,885
563,-71,-132,866
564,-107,-143,898
565,-86,-111,884
566,-100,-76,786
567,-69,-61,765
568,-6,-61,793
569,119,-69,762
570,129,-41,764
571,112,-43,762
572,107,-59,801
573,50,-75,905
574,72,-20,969
575,52,-43,1094
576,57,-44,1144
577,37,-75,1209
578,59,-70,1262
579,80,-110,1312
580,46,-96,1336
581,22,-78,1314
582,-53,-60,1346
583,-46,-37,1335
584,-49,-3,1307
585,-51,-10,1276
586,1,8,1206
587,2,-8,1110
588,20,-40,986
589,33,-85,925
590,34,-104,870
591,39,-124,868
592,44,-142,852
593,50,-132,833
594,58,-85,842
595,77,-83,803
596,72,-96,749
597,61,-74,688
598,48,-52,665
599,18,-73,686
600,11,-39,714
601,-9,-22,789
602,-34,-55,909
603,-40,-30,1034
