,X-axis,Y-Axis,Z-Axis
532,105,-56,1041
533,125,-14,968
534,146,-24,843
535,71,-63,777
536,51,-26,728
537,11,-40,750
538,71,-18,691
539,74,-109,681
540,133,-101,721
541,129,-103,757
542,81,-101,816
543,85,-88,824
544,15,-116,879
545,-29,-111,979
546,-78,-98,1093
547,-149,-85,1200
548,-118,-75,1254
549,-106,-101,1281
550,-37,-85,1314
551,-11,-65,1353
552,33,-45,1337
553,107,-18,1261
554,106,-21,1244
555,113,4,1159
556,106,30,1109
557,84,22,1005
558,91,-19,946
559,77,-43,931
560,123,-50,887
561,94,-70,846
562,88,-101,811
563,65,-117,828
564,53,-89,822
565,-12,-104,819
566,-57,-125,799
567,-62,-170,846
568,-60,-145,909
569,-56,-121,955
570,-27,-86,961
571,-25,-88,926
572,-39,-61,990
573,-1,-19,1029
574,-29,0,1050
575,23,6,1009
576,62,-1,1049
577,104,5,1150
578,142,31,1161
579,147,7,1177
580,185,27,1148
581,174,-15,1160
582,157,-4,1222
583,116,-26,1244
584,80,-58,1239
585,33,-94,1250
586,-2,-118,1240
587,-59,-180,1276
588,-75,-164,1166
589,-122,-189,1077
590,-88,-142,1011
591,-133,-139,946
592,-93,-101,877
593,-37,-83,794
594,41,-56,752
595,62,-40,743
596,52,-9,792
597,107,3,778
598,128,10,839
599,164,22,847
600,133,32,919
601,142,23,974
602,145,-23,1003
603,85,-47,1084
604,68,-26,1146
605,0,-61,1204
606,-3,-68,1202
607,-8,-115,1231
608,-54,-131,1251
609,-54,-107,1239
610,-56,-140,1246
611,-25,-164,1235
612,-47,-149,1272
613,5,-70,1214
614,9,-67,1129
615,30,-56,1052
616,43,-50,1076
617,74,-30,1088
618,53,-27,1075
619,77,-21,992
620,58,-46,986
621,65,-42,965
622,38,15,952
623,79,20,908
624,109,-49,913
625,101,-91,856
626,84,-52,832
627,33,-74,877
628,22,-109,882
629,-3,-125,915
630,-35,-133,936
631,-55,-101,1013
632,-43,-125,1065
633,-47,-144,1096
634,-42,-122,1145
635,-11,-90,1130
636,-20,-90,1121
637,-6,-107,1125
638,29,-82,1134
639,46,-48,1081
640,38,16,1067
641,90,3,1079
642,97,-6,1100
643,73,-9,1100
644,126,11,1096
645,76,-28,1121
646,89,-36,1112
647,80,-109,1111
648,69,-107,1074
649,41,-115,1058
